"date","area_name","area_code","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline"
"2020-10-25","Camden","E09000007",-50,-31,8,-61,-13,6
"2020-10-26","Camden","E09000007",-57,-35,16,-66,-63,20
"2020-10-27","Camden","E09000007",-61,-36,-26,-67,-63,22
"2020-10-28","Camden","E09000007",-59,-35,2,-66,-61,21
"2020-10-29","Camden","E09000007",-64,-35,-23,-67,-63,23
"2020-10-30","Camden","E09000007",-60,-29,-3,-63,-60,20
"2020-10-31","Camden","E09000007",-58,-34,-29,-59,-15,9
"2020-11-01","Camden","E09000007",-51,-33,-11,-58,-14,5
"2020-11-02","Camden","E09000007",-53,-35,5,-63,-56,18
"2020-11-03","Camden","E09000007",-51,-32,-9,-61,-55,18
"2020-11-04","Camden","E09000007",-47,-32,14,-59,-52,15
"2020-11-05","Camden","E09000007",-81,-38,-12,-74,-62,26
"2020-11-06","Camden","E09000007",-81,-35,-9,-74,-61,27
"2020-11-07","Camden","E09000007",-80,-38,16,-76,-34,15
"2020-11-08","Camden","E09000007",-79,-41,6,-77,-37,13
"2020-11-09","Camden","E09000007",-78,-43,9,-73,-63,24
"2020-11-10","Camden","E09000007",-79,-36,3,-73,-63,24
"2020-11-11","Camden","E09000007",-80,-39,-7,-74,-62,26
"2020-11-12","Camden","E09000007",-80,-34,-3,-73,-63,26
"2020-11-13","Camden","E09000007",-81,-32,-3,-73,-60,26
"2020-11-14","Camden","E09000007",-84,-43,-48,-78,-36,18
"2020-11-15","Camden","E09000007",-79,-39,-8,-76,-38,13
"2020-11-16","Camden","E09000007",-78,-41,0,-72,-63,25
"2020-11-17","Camden","E09000007",-79,-36,-9,-73,-63,25
"2020-11-18","Camden","E09000007",-80,-39,-9,-73,-61,25
"2020-11-19","Camden","E09000007",-81,-36,-19,-74,-63,27
"2020-11-20","Camden","E09000007",-82,-32,-25,-73,-60,26
"2020-11-21","Camden","E09000007",-79,-35,-6,-73,-33,15
"2020-11-22","Camden","E09000007",-75,-34,31,-73,-35,12
"2020-11-23","Camden","E09000007",-78,-39,4,-72,-62,24
"2020-11-24","Camden","E09000007",-79,-36,-6,-72,-61,25
"2020-11-25","Camden","E09000007",-80,-42,-11,-72,-60,25
"2020-11-26","Camden","E09000007",-80,-38,-10,-73,-61,25
"2020-11-27","Camden","E09000007",-80,-36,-12,-72,-60,26
"2020-11-28","Camden","E09000007",-79,-38,-10,-72,-31,15
"2020-11-29","Camden","E09000007",-77,-41,1,-74,-36,12
"2020-11-30","Camden","E09000007",-77,-42,-6,-71,-61,24
"2020-12-01","Camden","E09000007",-77,-36,-5,-71,-60,24
"2020-12-02","Camden","E09000007",-68,-35,-14,-66,-54,21
"2020-12-03","Camden","E09000007",-72,-40,-36,-67,-56,23
"2020-12-04","Camden","E09000007",-68,-28,-23,-63,-52,20
"2020-12-05","Camden","E09000007",-59,-28,-13,-53,-11,8
"2020-12-06","Camden","E09000007",-59,-31,-11,-57,-14,7
"2020-12-07","Camden","E09000007",-66,-39,-14,-64,-57,20
"2020-12-08","Camden","E09000007",-67,-34,-22,-65,-56,20
"2020-12-09","Camden","E09000007",-67,-34,-17,-65,-54,20
"2020-12-10","Camden","E09000007",-68,-31,-20,-65,-55,21
"2020-12-11","Camden","E09000007",-68,-27,-8,-61,-53,19
"2020-12-12","Camden","E09000007",-60,-28,-15,-53,-11,8
"2020-12-13","Camden","E09000007",-64,-34,-37,-60,-12,8
"2020-12-14","Camden","E09000007",-66,-37,-6,-64,-58,19
"2020-12-15","Camden","E09000007",-61,-29,-4,-61,-57,18
"2020-12-16","Camden","E09000007",-77,-36,-26,-69,-59,23
"2020-12-17","Camden","E09000007",-75,-30,-10,-69,-60,23
"2020-12-18","Camden","E09000007",-78,-31,-26,-68,-61,24
"2020-12-19","Camden","E09000007",-76,-34,-35,-62,-20,11
"2020-12-20","Camden","E09000007",-81,-40,-7,-73,-26,11
"2020-12-21","Camden","E09000007",-81,-38,-24,-78,-73,26
"2020-12-22","Camden","E09000007",-81,-31,-23,-79,-73,27
"2020-12-23","Camden","E09000007",-82,-29,-36,-80,-72,28
"2020-12-24","Camden","E09000007",-84,-30,-24,-84,-76,28
"2020-12-25","Camden","E09000007",-96,-91,-28,-97,-87,36
"2020-12-26","Camden","E09000007",-91,-72,-43,-89,-46,19
"2020-12-27","Camden","E09000007",-83,-49,-8,-79,-28,13
"2020-12-28","Camden","E09000007",-86,-57,-11,-86,-82,31
"2020-12-29","Camden","E09000007",-85,-47,-20,-83,-76,29
"2020-12-30","Camden","E09000007",-84,-44,-10,-83,-74,29
"2020-12-31","Camden","E09000007",-86,-38,-27,-84,-76,30
"2021-01-01","Camden","E09000007",-93,-73,-34,-90,-84,36
"2021-01-02","Camden","E09000007",-86,-50,-25,-80,-32,18
"2021-01-03","Camden","E09000007",-83,-49,-20,-78,-29,14
"2021-01-04","Camden","E09000007",-84,-49,-32,-79,-71,28
"2021-01-05","Camden","E09000007",-86,-48,-46,-81,-72,30
"2021-01-06","Camden","E09000007",-85,-47,-23,-82,-71,30
"2021-01-07","Camden","E09000007",-86,-46,-30,-82,-71,31
"2021-01-08","Camden","E09000007",-87,-46,-35,-82,-69,32
"2021-01-09","Camden","E09000007",-85,-48,-22,-82,-35,18
"2021-01-10","Camden","E09000007",-85,-51,-31,-83,-36,15
"2021-01-11","Camden","E09000007",-84,-50,-17,-81,-73,30
"2021-01-12","Camden","E09000007",-85,-48,-33,-82,-73,31
"2021-01-13","Camden","E09000007",-86,-51,-44,-82,-73,31
"2021-01-14","Camden","E09000007",-88,-52,-51,-83,-74,32
"2021-01-15","Camden","E09000007",-87,-44,-29,-82,-71,31
"2021-01-16","Camden","E09000007",-88,-52,-50,-83,-41,19
"2021-01-17","Camden","E09000007",-82,-46,9,-82,-38,13
"2021-01-18","Camden","E09000007",-84,-51,-17,-81,-74,28
"2021-01-19","Camden","E09000007",-85,-48,-33,-82,-74,30
"2021-01-20","Camden","E09000007",-87,-52,-41,-82,-73,31
"2021-01-21","Camden","E09000007",-86,-45,-23,-82,-73,30
"2021-01-22","Camden","E09000007",-86,-42,-12,-81,-70,30
"2021-01-23","Camden","E09000007",-85,-47,-18,-81,-38,17
"2021-01-24","Camden","E09000007",-87,-54,-10,-84,-40,14
"2021-01-25","Camden","E09000007",-84,-47,-7,-80,-73,29
"2021-01-26","Camden","E09000007",-86,-47,-38,-81,-73,30
"2021-01-27","Camden","E09000007",-86,-46,-28,-81,-72,30
"2021-01-28","Camden","E09000007",-86,-44,-25,-81,-73,31
"2021-01-29","Camden","E09000007",-86,-40,-21,-80,-70,30
"2021-01-30","Camden","E09000007",-88,-50,-60,-81,-44,19
"2021-01-31","Camden","E09000007",-83,-46,-13,-80,-42,14
"2021-02-01","Camden","E09000007",-84,-47,-16,-79,-73,28
"2021-02-02","Camden","E09000007",-84,-43,-16,-80,-72,29
"2021-02-03","Camden","E09000007",-85,-46,-26,-81,-72,30
"2021-02-04","Camden","E09000007",-86,-45,-38,-82,-72,31
"2021-02-05","Camden","E09000007",-84,-36,0,-80,-69,29
"2021-02-06","Camden","E09000007",-84,-43,-30,-80,-40,17
"2021-02-07","Camden","E09000007",-87,-53,-50,-83,-46,15
"2021-02-08","Camden","E09000007",-85,-49,-15,-80,-74,29
"2021-02-09","Camden","E09000007",-86,-46,-35,-81,-74,30
"2021-02-10","Camden","E09000007",-84,-42,-21,-80,-71,30
"2021-02-11","Camden","E09000007",-85,-42,-31,-81,-73,30
"2021-02-12","Camden","E09000007",-86,-39,-28,-79,-70,30
"2021-02-13","Camden","E09000007",-84,-40,-30,-80,-41,17
"2021-02-14","Camden","E09000007",-82,-42,-19,-80,-41,14
"2021-02-15","Camden","E09000007",-82,-42,10,-78,-73,27
"2021-02-16","Camden","E09000007",-84,-40,-21,-79,-73,29
"2021-02-17","Camden","E09000007",-85,-43,-22,-79,-72,30
"2021-02-18","Camden","E09000007",-85,-38,-12,-79,-73,30
"2021-02-19","Camden","E09000007",-85,-36,-7,-77,-70,30
"2021-02-20","Camden","E09000007",-80,-36,20,-75,-38,14
"2021-02-21","Camden","E09000007",-78,-39,29,-77,-38,12
"2021-02-22","Camden","E09000007",-83,-44,-7,-77,-71,28
"2021-02-23","Camden","E09000007",-81,-35,14,-77,-70,27
"2021-02-24","Camden","E09000007",-82,-39,18,-77,-69,28
"2021-02-25","Camden","E09000007",-83,-38,-10,-78,-70,29
"2021-02-26","Camden","E09000007",-82,-30,41,-75,-67,27
"2021-02-27","Camden","E09000007",-78,-33,47,-73,-36,13
"2021-02-28","Camden","E09000007",-79,-40,23,-76,-39,12
"2021-03-01","Camden","E09000007",-81,-41,17,-76,-70,27
"2021-03-02","Camden","E09000007",-82,-38,0,-77,-70,28
"2021-03-03","Camden","E09000007",-84,-43,-24,-78,-70,29
"2021-03-04","Camden","E09000007",-84,-37,-24,-78,-70,29
"2021-03-05","Camden","E09000007",-83,-32,-6,-76,-67,28
"2021-03-06","Camden","E09000007",-81,-36,-8,-74,-34,15
"2021-03-07","Camden","E09000007",-78,-36,29,-75,-35,11
"2021-03-08","Camden","E09000007",-80,-37,20,-75,-68,25
"2021-03-09","Camden","E09000007",-80,-32,35,-74,-68,24
"2021-03-10","Camden","E09000007",-85,-43,-32,-77,-66,28
"2021-03-11","Camden","E09000007",-83,-33,-12,-76,-66,27
"2021-03-12","Camden","E09000007",-83,-29,1,-74,-64,26
"2021-03-13","Camden","E09000007",-81,-33,-13,-72,-34,15
"2021-03-14","Camden","E09000007",-78,-37,7,-74,-33,11
"2021-03-15","Camden","E09000007",-81,-38,9,-73,-67,24
"2021-03-16","Camden","E09000007",-82,-34,-3,-75,-67,25
"2021-03-17","Camden","E09000007",-82,-36,-1,-74,-65,25
"2021-03-18","Camden","E09000007",-83,-33,-16,-75,-65,26
"2021-03-19","Camden","E09000007",-81,-24,39,-71,-62,24
"2021-03-20","Camden","E09000007",-80,-34,4,-71,-34,14
"2021-03-21","Camden","E09000007",-76,-32,37,-73,-33,11
"2021-03-22","Camden","E09000007",-79,-33,63,-72,-65,23
"2021-03-23","Camden","E09000007",-80,-32,24,-74,-65,24
"2021-03-24","Camden","E09000007",-81,-33,14,-74,-63,25
"2021-03-25","Camden","E09000007",-82,-30,0,-74,-64,26
"2021-03-26","Camden","E09000007",-83,-30,-10,-73,-62,26
"2021-03-27","Camden","E09000007",-78,-29,24,-70,-31,13
"2021-03-28","Camden","E09000007",-80,-40,-1,-74,-35,12
"2021-03-29","Camden","E09000007",-77,-30,116,-71,-65,21
"2021-03-30","Camden","E09000007",-76,-20,150,-70,-64,19
"2021-03-31","Camden","E09000007",-79,-26,73,-71,-64,22
"2021-04-01","Camden","E09000007",-80,-20,43,-70,-67,23
"2021-04-02","Camden","E09000007",-83,-29,60,-77,-79,27
"2021-04-03","Camden","E09000007",-81,-30,7,-69,-34,12
"2021-04-04","Camden","E09000007",-78,-46,104,-67,-29,5
"2021-04-05","Camden","E09000007",-81,-41,54,-79,-83,26
"2021-04-06","Camden","E09000007",-81,-30,8,-72,-70,25
"2021-04-07","Camden","E09000007",-81,-32,9,-73,-69,25
"2020-02-15","Croydon","E09000008",-15,-8,-31,-15,-3,2
"2020-02-16","Croydon","E09000008",-15,-10,-48,-16,-5,2
"2020-02-17","Croydon","E09000008",14,2,14,-2,-16,3
"2020-02-18","Croydon","E09000008",12,-2,15,-3,-15,3
"2020-02-19","Croydon","E09000008",11,-3,-10,-8,-15,3
"2020-02-20","Croydon","E09000008",9,-1,-17,-10,-16,4
"2020-02-21","Croydon","E09000008",6,-1,7,-5,-16,4
"2020-02-22","Croydon","E09000008",-1,0,10,1,-1,0
"2020-02-23","Croydon","E09000008",-8,-3,-10,3,-2,0
"2020-02-24","Croydon","E09000008",-7,0,-4,0,-1,1
"2020-02-25","Croydon","E09000008",-4,2,8,-2,1,0
"2020-02-26","Croydon","E09000008",-2,1,3,0,1,0
"2020-02-27","Croydon","E09000008",-1,2,3,-4,0,1
"2020-02-28","Croydon","E09000008",-2,1,-10,-3,0,1
"2020-02-29","Croydon","E09000008",-3,2,-9,-8,0,0
"2020-03-01","Croydon","E09000008",2,4,22,2,3,-1
"2020-03-02","Croydon","E09000008",3,5,15,-1,2,0
"2020-03-03","Croydon","E09000008",0,3,5,-2,2,0
"2020-03-04","Croydon","E09000008",1,5,-5,-3,1,1
"2020-03-05","Croydon","E09000008",-11,-1,-15,-3,0,2
"2020-03-06","Croydon","E09000008",1,11,27,2,1,0
"2020-03-07","Croydon","E09000008",1,8,23,-3,2,0
"2020-03-08","Croydon","E09000008",-6,6,11,-4,1,0
"2020-03-09","Croydon","E09000008",-3,9,6,-3,0,1
"2020-03-10","Croydon","E09000008",-3,10,4,-6,0,1
"2020-03-11","Croydon","E09000008",-1,11,16,-5,0,2
"2020-03-12","Croydon","E09000008",-4,19,16,-9,-2,3
"2020-03-13","Croydon","E09000008",-9,18,20,-12,-6,4
"2020-03-14","Croydon","E09000008",-17,14,8,-16,-2,3
"2020-03-15","Croydon","E09000008",-22,9,-4,-17,-5,3
"2020-03-16","Croydon","E09000008",-7,26,48,-17,-12,5
"2020-03-17","Croydon","E09000008",-17,29,23,-32,-21,10
"2020-03-18","Croydon","E09000008",-17,43,25,-35,-29,13
"2020-03-19","Croydon","E09000008",-19,49,3,-37,-34,15
"2020-03-20","Croydon","E09000008",-32,22,28,-42,-36,17
"2020-03-21","Croydon","E09000008",-55,8,56,-50,-27,12
"2020-03-22","Croydon","E09000008",-63,-12,54,-53,-33,10
"2020-03-23","Croydon","E09000008",-50,-4,59,-57,-54,22
"2020-03-24","Croydon","E09000008",-74,-17,43,-68,-65,28
"2020-03-25","Croydon","E09000008",-78,-21,45,-71,-70,30
"2020-03-26","Croydon","E09000008",-78,-23,55,-74,-71,32
"2020-03-27","Croydon","E09000008",-79,-24,39,-72,-71,32
"2020-03-28","Croydon","E09000008",-85,-34,4,-73,-57,21
"2020-03-29","Croydon","E09000008",-87,-45,-18,-73,-56,17
"2020-03-30","Croydon","E09000008",-78,-30,-4,-76,-74,31
"2020-03-31","Croydon","E09000008",-77,-27,30,-75,-74,32
"2020-04-01","Croydon","E09000008",-78,-29,32,-76,-74,32
"2020-04-02","Croydon","E09000008",-78,-27,31,-76,-74,33
"2020-04-03","Croydon","E09000008",-79,-25,43,-73,-72,33
"2020-04-04","Croydon","E09000008",-83,-31,62,-71,-57,21
"2020-04-05","Croydon","E09000008",-85,-36,54,-70,-55,16
"2020-04-06","Croydon","E09000008",-78,-30,31,-74,-74,30
"2020-04-07","Croydon","E09000008",-77,-26,73,-74,-74,31
"2020-04-08","Croydon","E09000008",-77,-25,49,-74,-74,31
"2020-04-09","Croydon","E09000008",-73,-14,67,-72,-74,31
"2020-04-10","Croydon","E09000008",-81,-29,67,-77,-83,36
"2020-04-11","Croydon","E09000008",-84,-29,48,-72,-59,21
"2020-04-12","Croydon","E09000008",-90,-59,48,-71,-61,17
"2020-04-13","Croydon","E09000008",-82,-40,44,-81,-86,35
"2020-04-14","Croydon","E09000008",-77,-25,58,-74,-73,31
"2020-04-15","Croydon","E09000008",-77,-25,73,-74,-73,31
"2020-04-16","Croydon","E09000008",-78,-23,62,-74,-73,32
"2020-04-17","Croydon","E09000008",-80,-28,7,-74,-72,33
"2020-04-18","Croydon","E09000008",-83,-31,32,-71,-54,21
"2020-04-19","Croydon","E09000008",-84,-37,83,-68,-51,15
"2020-04-20","Croydon","E09000008",-75,-29,85,-72,-71,29
"2020-04-21","Croydon","E09000008",-76,-26,84,-72,-71,30
"2020-04-22","Croydon","E09000008",-76,-24,91,-72,-70,30
"2020-04-23","Croydon","E09000008",-75,-22,98,-72,-71,31
"2020-04-24","Croydon","E09000008",-75,-22,86,-69,-69,31
"2020-04-25","Croydon","E09000008",-80,-26,76,-67,-53,19
"2020-04-26","Croydon","E09000008",-81,-32,97,-65,-49,14
"2020-04-27","Croydon","E09000008",-73,-26,82,-70,-70,28
"2020-04-28","Croydon","E09000008",-79,-35,-30,-76,-72,32
"2020-04-29","Croydon","E09000008",-75,-23,22,-73,-70,31
"2020-04-30","Croydon","E09000008",-77,-25,5,-73,-70,31
"2020-05-01","Croydon","E09000008",-76,-21,38,-69,-68,31
"2020-05-02","Croydon","E09000008",-79,-23,95,-65,-48,18
"2020-05-03","Croydon","E09000008",-82,-36,39,-67,-47,15
"2020-05-04","Croydon","E09000008",-72,-21,112,-68,-68,28
"2020-05-05","Croydon","E09000008",-73,-22,80,-71,-68,29
"2020-05-06","Croydon","E09000008",-73,-19,105,-69,-68,29
"2020-05-07","Croydon","E09000008",-71,-10,124,-67,-67,28
"2020-05-08","Croydon","E09000008",-76,-21,140,-71,-78,33
"2020-05-09","Croydon","E09000008",-79,-22,119,-64,-49,18
"2020-05-10","Croydon","E09000008",-82,-34,21,-67,-45,15
"2020-05-11","Croydon","E09000008",-72,-23,49,-69,-67,28
"2020-05-12","Croydon","E09000008",-70,-17,100,-68,-67,28
"2020-05-13","Croydon","E09000008",-72,-22,64,-70,-66,29
"2020-05-14","Croydon","E09000008",-72,-16,96,-69,-66,29
"2020-05-15","Croydon","E09000008",-72,-16,130,-65,-64,28
"2020-05-16","Croydon","E09000008",-77,-21,107,-62,-44,17
"2020-05-17","Croydon","E09000008",-78,-25,132,-59,-40,12
"2020-05-18","Croydon","E09000008",-67,-16,164,-64,-64,25
"2020-05-19","Croydon","E09000008",-68,-14,167,-64,-65,26
"2020-05-20","Croydon","E09000008",-68,-12,170,-64,-64,26
"2020-05-21","Croydon","E09000008",-68,-10,150,-65,-64,27
"2020-05-22","Croydon","E09000008",-69,-11,110,-63,-62,27
"2020-05-23","Croydon","E09000008",-75,-16,71,-59,-39,16
"2020-05-24","Croydon","E09000008",-76,-24,118,-56,-38,11
"2020-05-25","Croydon","E09000008",-70,-20,250,-68,-80,27
"2020-05-26","Croydon","E09000008",-64,-11,148,-64,-63,25
"2020-05-27","Croydon","E09000008",-65,-13,140,-64,-63,26
"2020-05-28","Croydon","E09000008",-64,-8,176,-64,-63,26
"2020-05-29","Croydon","E09000008",-66,-8,161,-60,-60,25
"2020-05-30","Croydon","E09000008",-72,-12,162,-54,-29,13
"2020-05-31","Croydon","E09000008",-74,-21,141,-52,-27,9
"2020-06-01","Croydon","E09000008",-58,-11,166,-57,-58,22
"2020-06-02","Croydon","E09000008",-60,-11,161,-59,-59,23
"2020-06-03","Croydon","E09000008",-61,-15,57,-62,-59,25
"2020-06-04","Croydon","E09000008",-61,-12,73,-62,-59,25
"2020-06-05","Croydon","E09000008",-64,-13,65,-60,-57,25
"2020-06-06","Croydon","E09000008",-69,-19,28,-56,-32,15
"2020-06-07","Croydon","E09000008",-70,-23,68,-52,-30,11
"2020-06-08","Croydon","E09000008",-57,-12,111,-57,-57,23
"2020-06-09","Croydon","E09000008",-58,-12,137,-59,-58,24
"2020-06-10","Croydon","E09000008",-61,-17,34,-62,-58,25
"2020-06-11","Croydon","E09000008",-58,-13,72,-61,-58,25
"2020-06-12","Croydon","E09000008",-61,-14,64,-58,-56,25
"2020-06-13","Croydon","E09000008",-64,-11,184,-48,-24,11
"2020-06-14","Croydon","E09000008",-66,-20,141,-46,-22,9
"2020-06-15","Croydon","E09000008",-43,-14,120,-55,-55,21
"2020-06-16","Croydon","E09000008",-46,-11,136,-56,-56,22
"2020-06-17","Croydon","E09000008",-50,-13,89,-58,-56,23
"2020-06-18","Croydon","E09000008",-49,-10,77,-58,-57,24
"2020-06-19","Croydon","E09000008",-50,-8,97,-54,-54,22
"2020-06-20","Croydon","E09000008",-55,-8,153,-44,-21,10
"2020-06-21","Croydon","E09000008",-58,-17,101,-46,-18,8
"2020-06-22","Croydon","E09000008",-42,-10,184,-53,-56,20
"2020-06-23","Croydon","E09000008",-45,-7,177,-54,-56,21
"2020-06-24","Croydon","E09000008",-47,-5,162,-53,-54,20
"2020-06-25","Croydon","E09000008",-49,-2,157,-54,-55,20
"2020-06-26","Croydon","E09000008",-50,-2,132,-50,-53,20
"2020-06-27","Croydon","E09000008",-55,-11,65,-47,-24,11
"2020-06-28","Croydon","E09000008",-55,-18,97,-42,-17,8
"2020-06-29","Croydon","E09000008",-39,-11,116,-54,-53,20
"2020-06-30","Croydon","E09000008",-45,-13,42,-58,-55,22
"2020-07-01","Croydon","E09000008",-43,-12,70,-56,-53,21
"2020-07-02","Croydon","E09000008",-43,-7,77,-56,-54,22
"2020-07-03","Croydon","E09000008",-44,-7,124,-51,-52,20
"2020-07-04","Croydon","E09000008",-48,-12,69,-43,-18,9
"2020-07-05","Croydon","E09000008",-46,-16,128,-39,-15,6
"2020-07-06","Croydon","E09000008",-34,-11,119,-52,-53,18
"2020-07-07","Croydon","E09000008",-35,-11,110,-53,-54,19
"2020-07-08","Croydon","E09000008",-39,-15,33,-56,-53,21
"2020-07-09","Croydon","E09000008",-37,-10,77,-54,-53,20
"2020-07-10","Croydon","E09000008",-38,-8,110,-48,-50,18
"2020-07-11","Croydon","E09000008",-45,-12,145,-37,-15,6
"2020-07-12","Croydon","E09000008",-47,-19,132,-36,-13,4
"2020-07-13","Croydon","E09000008",-31,-12,136,-49,-52,17
"2020-07-14","Croydon","E09000008",-33,-13,109,-52,-53,19
"2020-07-15","Croydon","E09000008",-29,-14,91,-52,-51,19
"2020-07-16","Croydon","E09000008",-28,-8,121,-51,-51,19
"2020-07-17","Croydon","E09000008",-32,-9,145,-47,-49,16
"2020-07-18","Croydon","E09000008",-42,-12,148,-36,-15,5
"2020-07-19","Croydon","E09000008",-43,-22,48,-41,-15,6
"2020-07-20","Croydon","E09000008",-24,-11,169,-51,-52,16
"2020-07-21","Croydon","E09000008",-26,-13,145,-52,-52,18
"2020-07-22","Croydon","E09000008",-27,-12,138,-50,-52,18
"2020-07-23","Croydon","E09000008",-27,-9,141,-51,-53,18
"2020-07-24","Croydon","E09000008",-32,-10,121,-46,-51,16
"2020-07-25","Croydon","E09000008",-41,-16,24,-41,-18,8
"2020-07-26","Croydon","E09000008",-38,-17,82,-34,-10,4
"2020-07-27","Croydon","E09000008",-24,-13,60,-52,-56,17
"2020-07-28","Croydon","E09000008",-23,-9,120,-51,-54,17
"2020-07-29","Croydon","E09000008",-21,-8,129,-50,-53,17
"2020-07-30","Croydon","E09000008",-21,-3,142,-49,-54,16
"2020-07-31","Croydon","E09000008",-33,-8,127,-45,-54,14
"2020-08-01","Croydon","E09000008",-40,-12,115,-36,-15,4
"2020-08-02","Croydon","E09000008",-37,-15,112,-32,-11,3
"2020-08-03","Croydon","E09000008",-16,-10,131,-47,-55,15
"2020-08-04","Croydon","E09000008",-16,-10,126,-50,-55,16
"2020-08-05","Croydon","E09000008",-14,-12,119,-49,-53,16
"2020-08-06","Croydon","E09000008",-23,-5,131,-50,-53,16
"2020-08-07","Croydon","E09000008",-32,-9,100,-46,-53,14
"2020-08-08","Croydon","E09000008",-41,-12,104,-38,-15,3
"2020-08-09","Croydon","E09000008",-38,-15,100,-31,-11,2
"2020-08-10","Croydon","E09000008",-16,-11,109,-49,-55,14
"2020-08-11","Croydon","E09000008",-17,-11,92,-51,-55,16
"2020-08-12","Croydon","E09000008",-16,-10,90,-50,-53,15
"2020-08-13","Croydon","E09000008",-26,-10,55,-51,-54,17
"2020-08-14","Croydon","E09000008",-28,-11,62,-47,-52,15
"2020-08-15","Croydon","E09000008",-37,-15,31,-39,-16,6
"2020-08-16","Croydon","E09000008",-35,-17,76,-35,-11,3
"2020-08-17","Croydon","E09000008",-11,-14,NA,-48,-53,14
"2020-08-18","Croydon","E09000008",-10,-13,NA,-49,-52,15
"2020-08-19","Croydon","E09000008",-17,-22,NA,-51,-53,17
"2020-08-20","Croydon","E09000008",-17,-5,NA,-48,-52,15
"2020-08-21","Croydon","E09000008",-26,-11,NA,-46,-51,15
"2020-08-22","Croydon","E09000008",-34,-13,NA,-35,-13,4
"2020-08-23","Croydon","E09000008",-32,-16,NA,-32,-8,2
"2020-08-24","Croydon","E09000008",-9,-16,NA,-46,-51,14
"2020-08-25","Croydon","E09000008",-7,-14,NA,-50,-53,16
"2020-08-26","Croydon","E09000008",-2,-12,NA,-44,-50,14
"2020-08-27","Croydon","E09000008",-19,-11,NA,-49,-51,16
"2020-08-28","Croydon","E09000008",-21,-6,NA,-43,-50,14
"2020-08-29","Croydon","E09000008",-31,-11,NA,-35,-16,4
"2020-08-30","Croydon","E09000008",-28,-15,NA,-32,-8,1
"2020-08-31","Croydon","E09000008",1,-18,NA,-53,-72,16
"2020-09-01","Croydon","E09000008",-11,-4,NA,-47,-51,14
"2020-09-02","Croydon","E09000008",-13,-10,NA,-46,-48,15
"2020-09-03","Croydon","E09000008",-18,-6,NA,-45,-47,14
"2020-09-04","Croydon","E09000008",-21,-7,NA,-39,-45,12
"2020-09-05","Croydon","E09000008",-28,-10,NA,-33,-11,4
"2020-09-06","Croydon","E09000008",-26,-9,NA,-31,-7,3
"2020-09-07","Croydon","E09000008",-17,-8,NA,-39,-47,12
"2020-09-08","Croydon","E09000008",-18,-4,NA,-41,-48,13
"2020-09-09","Croydon","E09000008",-18,-8,NA,-41,-43,12
"2020-09-10","Croydon","E09000008",-18,-2,NA,-41,-44,12
"2020-09-11","Croydon","E09000008",-23,-5,85,-36,-42,11
"2020-09-12","Croydon","E09000008",-29,-9,89,-34,-11,4
"2020-09-13","Croydon","E09000008",-30,-10,92,-32,-7,2
"2020-09-14","Croydon","E09000008",-21,-7,120,-37,-38,11
"2020-09-15","Croydon","E09000008",-21,-5,105,-41,-41,12
"2020-09-16","Croydon","E09000008",-21,-10,85,-40,-40,12
"2020-09-17","Croydon","E09000008",-21,-6,93,-41,-40,12
"2020-09-18","Croydon","E09000008",-26,-6,77,-36,-39,11
"2020-09-19","Croydon","E09000008",-30,-9,91,-35,-10,4
"2020-09-20","Croydon","E09000008",-31,-12,81,-35,-4,3
"2020-09-21","Croydon","E09000008",-21,-4,98,-38,-39,11
"2020-09-22","Croydon","E09000008",-22,-3,81,-42,-41,12
"2020-09-23","Croydon","E09000008",-25,-10,27,-43,-39,14
"2020-09-24","Croydon","E09000008",-24,-3,34,-44,-39,14
"2020-09-25","Croydon","E09000008",-27,-3,25,-39,-38,12
"2020-09-26","Croydon","E09000008",-31,-7,33,-39,-10,6
"2020-09-27","Croydon","E09000008",-34,-11,11,-42,-8,5
"2020-09-28","Croydon","E09000008",-20,-3,73,-39,-35,12
"2020-09-29","Croydon","E09000008",-22,-4,47,-44,-39,13
"2020-09-30","Croydon","E09000008",-23,-8,18,-43,-38,13
"2020-10-01","Croydon","E09000008",-21,-1,53,-43,-36,13
"2020-10-02","Croydon","E09000008",-33,-7,-2,-39,-37,14
"2020-10-03","Croydon","E09000008",-31,-3,16,-40,-10,7
"2020-10-04","Croydon","E09000008",-36,-13,-30,-43,-8,7
"2020-10-05","Croydon","E09000008",-22,-3,55,-38,-35,12
"2020-10-06","Croydon","E09000008",-24,-3,37,-43,-38,13
"2020-10-07","Croydon","E09000008",-23,-5,46,-42,-36,13
"2020-10-08","Croydon","E09000008",-27,-3,29,-43,-37,14
"2020-10-09","Croydon","E09000008",-29,-3,34,-39,-35,13
"2020-10-10","Croydon","E09000008",-33,-6,22,-40,-8,6
"2020-10-11","Croydon","E09000008",-32,-10,31,-39,-6,5
"2020-10-12","Croydon","E09000008",-28,-8,25,-42,-35,13
"2020-10-13","Croydon","E09000008",-28,-7,6,-45,-38,14
"2020-10-14","Croydon","E09000008",-24,-4,25,-44,-34,14
"2020-10-15","Croydon","E09000008",-24,0,29,-43,-36,14
"2020-10-16","Croydon","E09000008",-26,1,30,-37,-34,12
